bike_name,price,city,kms_driven,owner,age,power,brand
96,33,2,103,2,2,26,7
9,115,8,295,1,1,2,2
66,28,136,214,1,6,5,7
82,179,57,431,1,9,7,6
109,219,4,432,1,4,5,4
157,8,2,26,1,6,5,7
55,367,39,433,1,13,4,7
30,313,2,76,3,10,10,10
127,210,10,5,1,6,7,1
127,43,10,434,1,2,7,1
43,368,100,6,1,5,11,5
31,29,137,262,1,5,5,5
255,369,2,408,1,5,39,8
176,78,11,435,1,6,5,7
241,177,1,78,1,7,2,2
96,370,3,36,1,2,26,7
102,17,3,436,1,6,10,10
94,371,3,76,1,1,5,4
2,372,59,437,1,1,2,2
63,28,4,438,1,3,5,4
115,72,4,123,1,1,26,7
256,373,42,131,1,15,11,10
17,16,10,153,1,4,10,7
